provincia_id,departamento_id,a�o,mes,modelo,actividad,margen_bruto_($/ha),resultado_neto_($/ha),ingreso_neto_($/ha),gastos_directos_($/ha),costos_indirectos_($/ha),'eficiencia_stock_(\%)',producci�n_(kg/ha),'destete_(\%)',carga_(kg/ha)
82,7,2018,2,'santa fe centro',invernada,1731,352,3048,1317,1379,39,125,?,322
82,21,2018,2,'santa fe centro',invernada,1731,352,3048,1317,1379,39,125,?,322
82,56,2018,2,'santa fe centro',invernada,1731,352,3048,1317,1379,39,125,?,322
82,63,2018,2,'santa fe centro',invernada,1731,352,3048,1317,1379,39,125,?,322
82,70,2018,2,'santa fe centro',invernada,1731,352,3048,1317,1379,39,125,?,322
82,84,2018,2,'santa fe centro',invernada,1731,352,3048,1317,1379,39,125,?,322
82,91,2018,2,'santa fe centro',invernada,1731,352,3048,1317,1379,39,125,?,322
82,105,2018,2,'santa fe centro',invernada,1731,352,3048,1317,1379,39,125,?,322
82,119,2018,2,'santa fe centro',invernada,1731,352,3048,1317,1379,39,125,?,322
82,126,2018,2,'santa fe centro',invernada,1731,352,3048,1317,1379,39,125,?,322
86,154,2018,2,'santa fe centro',invernada,1731,352,3048,1317,1379,39,125,?,322
86,7,2018,2,'santiago del estero',cria,567,79,806,239,488,27,27,60,101
86,21,2018,2,'santiago del estero',cria,567,79,806,239,488,27,27,60,101
86,28,2018,2,'santiago del estero',cria,567,79,806,239,488,27,27,60,101
86,42,2018,2,'santiago del estero',cria,567,79,806,239,488,27,27,60,101
86,49,2018,2,'santiago del estero',cria,567,79,806,239,488,27,27,60,101
86,63,2018,2,'santiago del estero',cria,567,79,806,239,488,27,27,60,101
86,70,2018,2,'santiago del estero',cria,567,79,806,239,488,27,27,60,101
86,84,2018,2,'santiago del estero',cria,567,79,806,239,488,27,27,60,101
86,91,2018,2,'santiago del estero',cria,567,79,806,239,488,27,27,60,101
86,98,2018,2,'santiago del estero',cria,567,79,806,239,488,27,27,60,101
86,35,2018,2,'santiago del estero',cria,567,79,806,239,488,27,27,60,101
86,105,2018,2,'santiago del estero',cria,567,79,806,239,488,27,27,60,101
86,112,2018,2,'santiago del estero',cria,567,79,806,239,488,27,27,60,101
86,126,2018,2,'santiago del estero',cria,567,79,806,239,488,27,27,60,101
86,133,2018,2,'santiago del estero',cria,567,79,806,239,488,27,27,60,101
86,140,2018,2,'santiago del estero',cria,567,79,806,239,488,27,27,60,101
86,161,2018,2,'santiago del estero',cria,567,79,806,239,488,27,27,60,101
86,168,2018,2,'santiago del estero',cria,567,79,806,239,488,27,27,60,101
86,175,2018,2,'santiago del estero',cria,567,79,806,239,488,27,27,60,101
86,182,2018,2,'santiago del estero',cria,567,79,806,239,488,27,27,60,101
86,189,2018,2,'santiago del estero',cria,567,79,806,239,488,27,27,60,101
6,466,2018,2,'cuenca del salado',cria,2425,1095,2849,424,1330,31,92,72,293
14,42,2017,11,'centro cordoba sur','ciclo completo',1965,418,4263,2298,1547,36,157,65,436
14,56,2017,11,'centro cordoba sur','ciclo completo',1965,418,4263,2298,1547,36,157,65,436
14,63,2017,11,'centro cordoba sur','ciclo completo',1965,418,4263,2298,1547,36,157,65,436
14,84,2017,11,'centro cordoba sur','ciclo completo',1965,418,4263,2298,1547,36,157,65,436
14,105,2017,11,'centro cordoba sur','ciclo completo',1965,418,4263,2298,1547,36,157,65,436
14,119,2017,11,'centro cordoba sur','ciclo completo',1965,418,4263,2298,1547,36,157,65,436
14,140,2017,11,'centro cordoba sur','ciclo completo',1965,418,4263,2298,1547,36,157,65,436
14,161,2017,11,'centro cordoba sur','ciclo completo',1965,418,4263,2298,1547,36,157,65,436
14,182,2017,11,'centro cordoba sur','ciclo completo',1965,418,4263,2298,1547,36,157,65,436
