,pais_id,pais,provincia_id,provincia,departamento_id,departamento,prov_depto,año,mes,modelo,actividad,referencia,margen_bruto_($/ha),resultado_neto_($/ha),ingreso_neto_($/ha),gastos_directos_($/ha),costos_indirectos_($/ha),eficiencia_stock_(%),producción_(kg/ha),destete_(%),carga_(kg/ha)
94,32,Argentina,6,Buenos Aires,505,Magdalena,6505,2018,2,cuenca del salado,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,2425,1095,2849,424,1330,31,92,72,293
95,32,Argentina,6,Buenos Aires,511,Maipu,6511,2018,2,cuenca del salado,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,2425,1095,2849,424,1330,31,92,72,293
96,32,Argentina,6,Buenos Aires,518,Mar Chiquita,6518,2018,2,cuenca del salado,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,2425,1095,2849,424,1330,31,92,72,293
97,32,Argentina,6,Buenos Aires,525,Marcos Paz,6525,2018,2,cuenca del salado,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,2425,1095,2849,424,1330,31,92,72,293
98,32,Argentina,6,Buenos Aires,547,Monte,6547,2018,2,cuenca del salado,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,2425,1095,2849,424,1330,31,92,72,293
99,32,Argentina,6,Buenos Aires,574,Navarro,6574,2018,2,cuenca del salado,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,2425,1095,2849,424,1330,31,92,72,293
100,32,Argentina,6,Buenos Aires,595,Olavarria,6595,2018,2,cuenca del salado,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,2425,1095,2849,424,1330,31,92,72,293
101,32,Argentina,6,Buenos Aires,630,Pila,6630,2018,2,cuenca del salado,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,2425,1095,2849,424,1330,31,92,72,293
102,32,Argentina,6,Buenos Aires,655,Punta Indio,6655,2018,2,cuenca del salado,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,2425,1095,2849,424,1330,31,92,72,293
103,32,Argentina,6,Buenos Aires,672,Rauch,6672,2018,2,cuenca del salado,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,2425,1095,2849,424,1330,31,92,72,293
104,32,Argentina,6,Buenos Aires,693,Roque Perez,6693,2018,2,cuenca del salado,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,2425,1095,2849,424,1330,31,92,72,293
105,32,Argentina,6,Buenos Aires,707,Saladillo,6707,2018,2,cuenca del salado,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,2425,1095,2849,424,1330,31,92,72,293
106,32,Argentina,6,Buenos Aires,778,San Vicente,6778,2018,2,cuenca del salado,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,2425,1095,2849,424,1330,31,92,72,293
107,32,Argentina,6,Buenos Aires,798,Tapalque,6798,2018,2,cuenca del salado,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,2425,1095,2849,424,1330,31,92,72,293
108,32,Argentina,6,Buenos Aires,812,Tordillo,6812,2018,2,cuenca del salado,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,2425,1095,2849,424,1330,31,92,72,293
109,32,Argentina,30,Entre Rios,15,Concordia,30015,2018,2,entre rios norte,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,1429,661,1948,519,768,30,70,67,231
110,32,Argentina,30,Entre Rios,28,Federacion,30028,2018,2,entre rios norte,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,1429,661,1948,519,768,30,70,67,231
111,32,Argentina,30,Entre Rios,35,Federal,30035,2018,2,entre rios norte,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,1429,661,1948,519,768,30,70,67,231
112,32,Argentina,30,Entre Rios,42,Feliciano,30042,2018,2,entre rios norte,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,1429,661,1948,519,768,30,70,67,231
113,32,Argentina,30,Entre Rios,70,La Paz,30070,2018,2,entre rios norte,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,1429,661,1948,519,768,30,70,67,231
114,32,Argentina,30,Entre Rios,8,Colon,30008,2018,2,entre rios sw,invernada,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,1429,-1025,5852,4424,2454,59,284,-99999,482
115,32,Argentina,30,Entre Rios,21,Diamante,30021,2018,2,entre rios sw,invernada,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,1429,-1025,5852,4424,2454,59,284,-99999,482
116,32,Argentina,30,Entre Rios,49,Gualeguay,30049,2018,2,entre rios sw,invernada,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,1429,-1025,5852,4424,2454,59,284,-99999,482
117,32,Argentina,30,Entre Rios,56,Gualeguaychu,30056,2018,2,entre rios sw,invernada,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,1429,-1025,5852,4424,2454,59,284,-99999,482
118,32,Argentina,30,Entre Rios,77,Nogoya,30077,2018,2,entre rios sw,invernada,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,1429,-1025,5852,4424,2454,59,284,-99999,482
119,32,Argentina,30,Entre Rios,84,Parana,30084,2018,2,entre rios sw,invernada,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,1429,-1025,5852,4424,2454,59,284,-99999,482
120,32,Argentina,30,Entre Rios,88,San Salvador,30088,2018,2,entre rios sw,invernada,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,1429,-1025,5852,4424,2454,59,284,-99999,482
121,32,Argentina,30,Entre Rios,91,Tala,30091,2018,2,entre rios sw,invernada,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,1429,-1025,5852,4424,2454,59,284,-99999,482
122,32,Argentina,30,Entre Rios,98,Uruguay,30098,2018,2,entre rios sw,invernada,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,1429,-1025,5852,4424,2454,59,284,-99999,482
123,32,Argentina,30,Entre Rios,105,Victoria,30105,2018,2,entre rios sw,invernada,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,1429,-1025,5852,4424,2454,59,284,-99999,482
124,32,Argentina,30,Entre Rios,113,Villaguay,30113,2018,2,entre rios sw,invernada,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,1429,-1025,5852,4424,2454,59,284,-99999,482
125,32,Argentina,30,Entre Rios,63,Islas Del Ibicuy,30063,2018,2,islas de entre rios 1,invernada,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,532,135,1157,625,397,39,51,-99999,132
126,32,Argentina,42,La Pampa,14,Caleu Caleu,42014,2018,2,la pampa-san luis arida,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,335,170,488,152,165,29,17,65,59
127,32,Argentina,42,La Pampa,49,Chalileo,42049,2018,2,la pampa-san luis arida,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,335,170,488,152,165,29,17,65,59
128,32,Argentina,42,La Pampa,42,Curaco,42042,2018,2,la pampa-san luis arida,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,335,170,488,152,165,29,17,65,59
129,32,Argentina,42,La Pampa,77,Hucal,42077,2018,2,la pampa-san luis arida,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,335,170,488,152,165,29,17,65,59
130,32,Argentina,42,La Pampa,84,Lihuel Calel,42084,2018,2,la pampa-san luis arida,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,335,170,488,152,165,29,17,65,59
131,32,Argentina,42,La Pampa,91,Limay Mahuida,42091,2018,2,la pampa-san luis arida,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,335,170,488,152,165,29,17,65,59
